Invoice_ID,Branch,City,Customer_Type,Gender,Product_Category,Unit_Price,Quantity,Discount,Rating,Discount_Amount,Net_Sales,Tax_7_25_percent,Total_Sales
INV200000,West-3,San Diego,Normal,Female,Clothing,319.91,4,0.26,4.5,332.71,946.93,68.65,1015.58
INV200001,West-1,Sacramento,Normal,Female,Food,569.62,7,0.24,1.8,956.96,3030.38,219.7,3250.08
INV200002,West-3,San Diego,Member,Female,Food,48.57,6,0.34,6.1,99.08,192.34,13.94,206.28
INV200003,West-3,Oakland,Member,Male,Clothing,361.92,15,0.18,4.3,977.18,4451.62,322.74,4774.36
INV200004,West-1,Anaheim,Member,Male,Electronics,318.27,6,0.19,2.8,362.83,1546.79,112.14,1658.93
INV200005,West-1,Fresno,Member,Female,Food,312.16,7,0.09,6.4,196.66,1988.46,144.16,2132.62
INV200006,West-3,Irvine,Member,Female,Clothing,524.53,3,0.13,4.3,204.57,1369.02,99.25,1468.27
INV200007,West-2,Los Angeles,Normal,Male,Home Appliances,127.3,13,0.01,2.5,16.55,1638.35,118.78,1757.13
INV200008,West-3,Oakland,Member,Male,Cosmetics,29.26,2,0.24,7.3,14.04,44.48,3.22,47.7
INV200009,West-3,San Diego,Member,Male,Food,405.0,3,0.11,8.5,133.65,1081.35,78.4,1159.75
INV200010,West-3,Sacramento,Normal,Male,Home Appliances,210.37,13,0.19,3.5,519.61,2215.2,160.6,2375.8
INV200011,West-3,Irvine,Normal,Female,Food,15.47,9,0.09,2.7,12.53,126.7,9.19,135.89
INV200012,West-1,San Jose,Member,Male,Electronics,154.57,19,0.22,1.7,646.1,2290.73,166.08,2456.81
INV200013,West-3,Irvine,Member,Male,Clothing,189.05,18,0.16,5.8,544.46,2858.44,207.24,3065.68
INV200014,West-2,Sacramento,Normal,Male,Food,372.02,5,0.17,8.5,316.22,1543.88,111.93,1655.81
INV200015,West-1,Sacramento,Member,Female,Clothing,107.69,10,0.33,3.3,355.38,721.52,52.31,773.83
INV200016,West-2,Fresno,Member,Female,Food,250.77,14,0.25,5.1,877.7,2633.08,190.9,2823.98
INV200017,West-2,Irvine,Member,Male,Electronics,292.07,17,0.09,2.4,446.87,4518.32,327.58,4845.9
INV200018,West-2,Irvine,Normal,Male,Electronics,278.25,3,0.18,4.6,150.26,684.49,49.63,734.12
INV200019,West-2,Fresno,Member,Female,Home Appliances,584.49,7,0.16,1.1,654.63,3436.8,249.17,3685.97
INV200020,West-1,Santa Ana,Member,Female,Electronics,32.08,9,0.28,9.2,80.84,207.88,15.07,222.95
INV200021,West-1,Santa Ana,Normal,Male,Clothing,570.83,5,0.29,7.1,827.7,2026.45,146.92,2173.37
INV200022,West-2,Anaheim,Normal,Female,Electronics,351.25,4,0.1,4.0,140.5,1264.5,91.68,1356.18
INV200023,West-2,Santa Ana,Normal,Male,Food,478.46,3,0.29,8.9,416.26,1019.12,73.89,1093.01
INV200024,West-1,San Francisco,Member,Female,Electronics,261.08,13,0.06,2.6,203.64,3190.4,231.3,3421.7
INV200025,West-1,Irvine,Normal,Male,Clothing,275.03,9,0.27,1.7,668.32,1806.95,131.0,1937.95
INV200026,West-1,Los Angeles,Member,Male,Food,528.2,7,0.09,9.5,332.77,3364.63,243.94,3608.57
INV200027,West-3,Irvine,Normal,Female,Home Appliances,538.08,8,0.1,3.8,430.46,3874.18,280.88,4155.06
INV200028,West-3,San Francisco,Member,Male,Home Appliances,147.02,10,0.3,9.4,441.06,1029.14,74.61,1103.75
INV200029,West-3,San Francisco,Normal,Female,Home Appliances,123.55,1,0.15,6.7,18.53,105.02,7.61,112.63
INV200030,West-2,San Diego,Member,Female,Food,300.26,1,0.35,9.8,105.09,195.17,14.15,209.32
INV200031,West-3,Irvine,Member,Female,Home Appliances,540.66,19,0.05,7.8,513.63,9758.91,707.52,10466.43
INV200032,West-2,Oakland,Normal,Male,Electronics,196.8,2,0.16,1.9,62.98,330.62,23.97,354.59
INV200033,West-2,San Francisco,Normal,Male,Food,392.95,12,0.26,8.7,1226.0,3489.4,252.98,3742.38
INV200034,West-3,Los Angeles,Member,Male,Food,426.35,13,0.0,2.3,0.0,5542.55,401.83,5944.38
INV200035,West-2,Fresno,Normal,Female,Food,468.31,14,0.05,7.2,327.82,6228.52,451.57,6680.09
INV200036,West-3,Anaheim,Member,Male,Cosmetics,340.54,5,0.01,5.5,17.03,1685.67,122.21,1807.88
INV200037,West-3,San Diego,Normal,Male,Clothing,244.46,3,0.35,7.4,256.68,476.7,34.56,511.26
INV200038,West-1,Fresno,Normal,Male,Cosmetics,580.37,17,0.27,7.9,2663.9,7202.39,522.17,7724.56
INV200039,West-3,San Diego,Member,Male,Cosmetics,368.74,1,0.13,8.2,47.94,320.8,23.26,344.06
INV200040,West-1,Los Angeles,Normal,Female,Cosmetics,438.5,14,0.05,8.5,306.95,5832.05,422.82,6254.87
INV200041,West-3,Sacramento,Normal,Male,Clothing,210.26,6,0.03,8.6,37.85,1223.71,88.72,1312.43
INV200042,West-3,Irvine,Member,Female,Cosmetics,403.62,17,0.19,4.7,1303.69,5557.85,402.94,5960.79
INV200043,West-1,San Jose,Member,Female,Home Appliances,158.39,4,0.34,9.0,215.41,418.15,30.32,448.47
INV200044,West-1,Oakland,Normal,Female,Food,150.83,6,0.24,7.5,217.2,687.78,49.86,737.64
INV200045,West-3,Fresno,Member,Female,Food,430.26,1,0.13,8.6,55.93,374.33,27.14,401.47
INV200046,West-2,Irvine,Normal,Male,Electronics,315.23,9,0.18,9.9,510.67,2326.4,168.66,2495.06
INV200047,West-1,Oakland,Normal,Male,Home Appliances,411.55,4,0.35,2.0,576.17,1070.03,77.58,1147.61
INV200048,West-2,Sacramento,Member,Male,Clothing,165.32,9,0.18,4.3,267.82,1220.06,88.45,1308.51
INV200049,West-2,San Jose,Member,Female,Food,361.24,9,0.34,8.3,1105.39,2145.77,155.57,2301.34
INV200050,West-2,Oakland,Member,Male,Cosmetics,269.14,13,0.01,1.8,34.99,3463.83,251.13,3714.96
INV200051,West-1,Oakland,Member,Female,Electronics,360.19,17,0.25,5.9,1530.81,4592.42,332.95,4925.37
INV200052,West-2,Fresno,Member,Male,Electronics,178.07,3,0.22,8.7,117.53,416.68,30.21,446.89
INV200053,West-1,Santa Ana,Member,Male,Food,430.69,6,0.24,1.2,620.19,1963.95,142.39,2106.34
INV200054,West-2,San Jose,Normal,Male,Home Appliances,484.53,15,0.2,9.5,1453.59,5814.36,421.54,6235.9
INV200055,West-3,Irvine,Normal,Female,Electronics,159.65,14,0.02,9.8,44.7,2190.4,158.8,2349.2
INV200056,West-3,Sacramento,Member,Male,Food,183.87,13,0.05,3.9,119.52,2270.79,164.63,2435.42
INV200057,West-1,San Jose,Normal,Female,Home Appliances,398.39,9,0.32,7.9,1147.36,2438.15,176.77,2614.92
INV200058,West-3,Los Angeles,Normal,Female,Food,418.87,15,0.08,2.1,502.64,5780.41,419.08,6199.49
INV200059,West-3,Santa Ana,Normal,Female,Food,423.94,14,0.35,8.0,2077.31,3857.85,279.69,4137.54
INV200060,West-2,Los Angeles,Normal,Male,Home Appliances,411.21,4,0.24,5.3,394.76,1250.08,90.63,1340.71
