customer_id,tenure,monthly_charges,total_charges,contract_type,internet_service,tech_support,online_security,payment_method,paperless_billing,churn
1,52,36.16,2681.58,2,0,1,0,1,1,0
2,15,31.84,684.19,2,1,1,0,3,1,0
3,61,96.07,7098.61,1,2,0,1,2,1,0
4,21,112.75,1478.63,0,2,1,1,2,0,1
5,24,65.83,5077.39,2,0,0,0,2,1,1
6,3,85.94,5187.34,2,1,1,1,3,0,1
7,22,111.45,2321.1,1,2,1,1,1,0,0
8,53,29.01,7886.72,2,2,1,0,2,0,0
9,2,97.05,606.91,2,0,0,0,2,1,1
10,30,81.68,4902.19,2,2,0,0,0,1,0
11,38,79.86,3888.4,0,0,0,1,3,0,0
12,2,49.25,2039.32,0,2,0,0,3,1,1
13,64,88.39,1392.06,0,2,1,1,3,1,1
14,60,99.48,5922.97,2,0,0,0,0,1,0
15,21,31.29,7338.89,1,0,0,1,1,1,0
16,33,73.35,949.62,1,1,0,1,1,1,0
17,58,30.13,1632.44,1,2,0,1,2,1,0
18,22,107.26,7891.53,0,1,1,0,0,0,1
19,49,70.76,218.68,0,1,0,0,0,1,0
20,59,100.8,4115.19,0,0,1,1,1,1,0
21,42,56.81,4177.29,0,2,0,0,2,0,1
22,60,32.51,2178.98,2,0,0,1,3,0,0
23,15,24.15,5337.93,1,2,0,1,3,0,1
24,62,48.15,7565.03,1,0,0,1,3,1,1
25,62,44.42,3656.69,0,2,0,1,1,1,0
26,47,76.04,6020.41,1,1,0,1,3,1,1
27,62,22.17,5203.96,1,2,0,1,2,1,0
28,51,72.06,3836.24,0,2,0,1,0,0,0
29,55,59.18,493.52,0,0,0,1,2,1,0
30,64,77.71,5959.82,0,2,1,0,0,0,1
31,3,90.24,2969.69,0,2,0,0,3,1,1
32,51,83.41,1873.51,2,2,0,0,0,0,0
33,7,118.46,7591.32,1,2,0,1,3,1,1
34,21,33.83,6210.67,2,1,1,0,0,1,0
35,39,62.97,7701.92,1,0,1,1,1,1,0
36,18,62.48,2124.11,2,2,0,1,1,1,0
37,4,61.71,6702.77,0,0,0,0,1,1,1
38,60,86.38,4901.0,2,1,1,1,2,1,0
39,14,68.98,7853.88,0,1,1,0,1,0,0
40,9,71.74,7575.9,0,2,0,0,0,0,1
41,53,63.24,7786.45,2,0,1,0,3,0,0
42,2,119.17,7618.96,1,0,0,1,1,0,1
43,60,112.76,160.52,2,0,1,0,3,1,0
44,71,50.77,5954.57,0,1,0,1,0,0,0
45,44,31.16,2248.28,0,1,0,1,1,1,1
